customer,state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount,complaint_type1,complaint_type2,complaint_type3
RB50392,Washington,Female,Master,0,36234,1000,1/0/00,Personal Auto,Four-Door Car,2,1,0,0
QZ44356,Arizona,Female,Bachelor,697953,36234,94,1/0/00,Personal Auto,Four-Door Car,1131,1,0,0
AI49188,Nevada,Female,Bachelor,1288743,48767,108,1/0/00,Personal Auto,Two-Door Car,566,1,0,0
WW63253,California,Male,Bachelor,764586,36234,106,1/0/00,Corporate Auto,SUV,529,1,0,0
GA49547,Washington,Male,High School or Below,536307,36357,68,1/0/00,Personal Auto,Four-Door Car,17,1,0,0
OC83172,Oregon,Female,Bachelor,825629,62902,69,1/0/00,Personal Auto,Two-Door Car,159,1,0,0
XZ87318,Oregon,Female,College,538089,55350,67,1/0/00,Corporate Auto,Four-Door Car,321,1,0,0
CF85061,Arizona,Male,Master,721610,36234,101,1/0/00,Corporate Auto,Four-Door Car,363,1,0,0
DY87989,Oregon,Male,Bachelor,2412750,14072,71,1/0/00,Corporate Auto,Four-Door Car,511,1,0,0
BQ94931,Oregon,Female,College,738817,28812,93,1/0/00,Special Auto,Four-Door Car,425,1,0,0
SX51350,California,Male,College,473899,36234,67,1/0/00,Personal Auto,Four-Door Car,482,1,0,0
VQ65197,California,Male,College,819719,36234,110,1/0/00,Personal Auto,SUV,528,1,0,0
DP39365,California,Male,Master,879879,77026,110,1/2/00,Corporate Auto,Four-Door Car,472,1,2,0
SJ95423,Arizona,Male,High School or Below,881901,99845,110,1/1/00,Corporate Auto,SUV,528,1,1,0
IL66569,California,Male,College,538443,83689,70,1/2/00,Corporate Auto,Four-Door Car,307,1,2,0
BW63560,Oregon,Male,Bachelor,746313,24599,64,1/1/00,Corporate Auto,Four-Door Car,42,1,1,0
FV94802,Nevada,Male,High School or Below,256686,25049,67,1/0/00,Personal Auto,Two-Door Car,454,1,0,0
OE15005,California,Male,College,394524,28855,101,1/0/00,Personal Auto,SUV,647,1,0,0
WC83389,Oregon,Male,College,571033,51148,72,1/0/00,Personal Auto,Four-Door Car,308,1,0,0
FL50705,California,Male,High School or Below,816261,66140,101,1/0/00,Corporate Auto,Four-Door Car,484,1,0,0
ZK25313,Oregon,Male,High School or Below,287205,57749,74,1/0/00,Personal Auto,Two-Door Car,355,1,0,0
QK46697,Washington,Male,Bachelor,617710,61040,79,1/1/00,Personal Auto,Two-Door Car,20,1,1,0
YH23384,Arizona,Male,Bachelor,2412750,14072,71,1/0/00,Personal Auto,Four-Door Car,511,1,0,0
TZ98966,Nevada,Male,Bachelor,245019,36234,73,1/3/00,Corporate Auto,Four-Door Car,554,1,3,0
HM55802,California,Male,Bachelor,239210,17870,61,1/0/00,Corporate Auto,Four-Door Car,439,1,0,0
FS42516,Oregon,Male,College,580206,97541,72,1/0/00,Personal Auto,Four-Door Car,389,1,0,0
US89481,California,Male,Bachelor,394637,36234,111,1/0/00,Personal Auto,Four-Door Car,799,1,0,0
HS14476,Washington,Male,College,916206,29723,80,1/0/00,Personal Auto,Four-Door Car,20,1,0,0
GE62437,Arizona,Female,College,1290256,86584,111,1/2/00,Personal Auto,Four-Door Car,532,1,2,0
EJ77678,Oregon,Female,Master,323536,75690,80,1/1/00,Personal Auto,Four-Door Car,384,1,1,0
SV85652,Arizona,Female,College,245458,23158,63,1/1/00,Personal Auto,Four-Door Car,322,1,1,0
UL64533,Nevada,Female,High School or Below,1897545,65999,237,1/0/00,Corporate Auto,Luxury SUV,615,1,0,0
PF41800,California,Female,Bachelor,471532,36234,65,1/0/00,Personal Auto,Four-Door Car,308,1,0,0
HD95276,Washington,Female,College,473787,36234,130,1/0/00,Personal Auto,SUV,23,1,0,0
SK67821,Oregon,Male,Bachelor,493291,37260,62,1/0/00,Corporate Auto,Four-Door Car,15,1,0,0
YV55495,Arizona,Male,High School or Below,574422,68987,71,1/0/00,Personal Auto,Four-Door Car,204,1,0,0
KY38074,California,Male,Bachelor,1389173,42305,117,1/0/00,Personal Auto,Four-Door Car,561,1,0,0
DM79012,Oregon,Male,Master,738097,65706,91,1/0/00,Personal Auto,Four-Door Car,436,1,0,0
CM61827,Oregon,Male,Bachelor,309003,36234,90,1/0/00,Personal Auto,Two-Door Car,648,1,0,0
WC35801,Arizona,Male,High School or Below,252163,53243,66,1/2/00,Personal Auto,Four-Door Car,157,1,2,0
QG25316,Nevada,Male,High School or Below,265206,36234,70,1/1/00,Corporate Auto,Two-Door Car,484,1,1,0
MB98372,Oregon,Male,College,277104,50071,71,1/0/00,Corporate Auto,Two-Door Car,18,1,0,0
IL19217,California,Male,Bachelor,393900,60021,99,1/0/00,Personal Auto,Four-Door Car,882,1,0,0
SR38658,Arizona,Male,High School or Below,1223187,43244,103,1/0/00,Personal Auto,Sports Car,494,1,0,0
YD87931,Washington,Male,Doctor,495165,46896,35354,1/1/00,Personal Auto,Four-Door Car,31,1,1,0
HG65722,Oregon,Female,Doctor,1281910,10105,172,1/3/00,Personal Auto,SUV,0,1,3,0
BU27331,Arizona,Female,Bachelor,446851,36234,73,1/3/00,Personal Auto,Four-Door Car,579,1,3,0
XM45289,Oregon,Female,High School or Below,551434,23218,71,1/0/00,Personal Auto,Two-Door Car,447,1,0,0
KP34198,California,Female,Bachelor,334387,36234,92,1/0/00,Corporate Auto,Four-Door Car,529,1,0,0
SH90947,Arizona,Female,High School or Below,229447,36234,62,1/0/00,Personal Auto,Four-Door Car,313,1,0,0
WE95729,Oregon,Female,College,3670742,24804,104,1/0/00,Personal Auto,SUV,593,1,0,0
PY51963,California,Female,Bachelor,3347334,33190,106,1/0/00,Corporate Auto,SUV,508,1,0,0
RB69909,Nevada,Female,High School or Below,798343,36014,69,1/3/00,Special Auto,Four-Door Car,173,1,3,0
NW21079,Washington,Female,Master,487938,67163,61,1/2/00,Personal Auto,Two-Door Car,33,1,2,0
FR46645,California,Female,Bachelor,429399,16701,113,1/0/00,Personal Auto,Four-Door Car,831,1,0,0
SY17488,Arizona,Female,College,716439,46623,91,1/0/00,Corporate Auto,Four-Door Car,436,1,0,0
AP67935,California,Female,College,761951,64749,64,1/0/00,Special Auto,Four-Door Car,302,1,0,0
FS37417,Arizona,Female,High School or Below,395800,36234,101,1/0/00,Personal Auto,SUV,484,1,0,0
ML29312,Oregon,Female,High School or Below,449949,16969,124,1/2/00,Personal Auto,SUV,704,1,2,0
UB61619,Oregon,Female,Master,405956,11621,108,1/0/00,Personal Auto,Four-Door Car,518,1,0,0
CD86811,Arizona,Female,Bachelor,445811,17622,65,1/1/00,Personal Auto,Four-Door Car,312,1,1,0
RU83859,California,Female,Bachelor,811033,11489,105,1/0/00,Personal Auto,Two-Door Car,504,1,0,0
FG63582,Oregon,Female,Bachelor,333976,36234,94,1/0/00,Personal Auto,Two-Door Car,863,1,0,0
NN71951,California,Female,High School or Below,2426101,66525,100,1/0/00,Personal Auto,SUV,104,1,0,0
WB37082,Arizona,Female,Bachelor,661397,36234,63,1/0/00,Personal Auto,Four-Door Car,676,1,0,0
SM52139,Washington,Female,College,293069,33663,73,1/0/00,Personal Auto,Four-Door Car,350,1,0,0
FL82372,Oregon,Female,College,867219,22547,112,1/0/00,Corporate Auto,SUV,537,1,0,0
DP45816,Arizona,Female,High School or Below,1163866,61486,97,1/0/00,Personal Auto,Two-Door Car,465,1,0,0
GW33762,Oregon,Female,Bachelor,684615,36234,95,1/0/00,Personal Auto,Two-Door Car,456,1,0,0
RZ33670,California,Female,College,1172777,29879,102,1/0/00,Personal Auto,Four-Door Car,500,1,0,0
PY70169,Oregon,Female,High School or Below,2264383,93011,113,1/0/00,Personal Auto,SUV,281,1,0,0
MO91628,Oregon,Female,Master,261447,65186,65,1/0/00,Personal Auto,Two-Door Car,5,1,0,0
HW87852,Oregon,Female,Master,245175,26840,64,1/2/00,Personal Auto,Four-Door Car,307,1,2,0
